M3_Public_Perf_Inter_Inter_Medium_London_England: avg_runtime=0.08866099268198013, avg_cost=3634.299560546875
M3_Public_Perf_Inter_Inter_Hard_London_England: avg_runtime=0.059779420495033264, avg_cost=3113.558349609375
M3_Public_Perf_Inter_Inter_Very_Hard_London_England: avg_runtime=0.060249943286180496, avg_cost=3113.558349609375

alpha=0.042222222222222223
M3_Public_Func_Inter_Inter_Simple_Legality_Interlaken_Switzerland: avg_runtime=0.0002370309375692159, avg_cost=13.791701316833496
M3_Public_Func_Inter_Inter_Simple_Optimality_Interlaken_Switzerland: avg_runtime=0.00021695926261600107, avg_cost=13.791701316833496
M3_Public_Func_Inter_Inter_Legality_Interlaken_Switzerland: avg_runtime=0.0005341567448340356, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Optimality_Interlaken_Switzerland: avg_runtime=0.0004943933454342186, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Simple_Legality_Toronto_Canada: avg_runtime=0.00034911706461571157, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Simple_Optimality_Toronto_Canada: avg_runtime=0.00045053273788653314, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Legality_Toronto_Canada: avg_runtime=0.014433100819587708, avg_cost=1753.6492919921875
M3_Public_Func_Inter_Inter_Optimality_Toronto_Canada: avg_runtime=0.014345558360219002, avg_cost=1753.6492919921875
M3_Public_Func_Inter_Inter_Simple_Legality_London_England: avg_runtime=0.0008608847856521606, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Simple_Optimality_London_England: avg_runtime=0.00043608801206573844, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Legality_London_England: avg_runtime=0.05027858540415764, avg_cost=3043.386474609375
M3_Public_Func_Inter_Inter_Optimality_London_England: avg_runtime=0.05123747140169144, avg_cost=3043.386474609375
M3_Public_Perf_Inter_Inter_Medium_Toronto: avg_runtime=0.015648387372493744, avg_cost=1696.02783203125
M3_Public_Perf_Inter_Inter_Hard_Toronto: avg_runtime=0.014574520289897919, avg_cost=1694.8885498046875
M3_Public_Perf_Inter_Inter_Very_Hard_Toronto: avg_runtime=0.014817722141742706, avg_cost=1699.4527587890625
