M3_Public_Func_Inter_Inter_Legality_Interlaken_Switzerland: avg_runtime=0.0006939346785657108, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Optimality_Interlaken_Switzerland: avg_runtime=0.0006947750807739794, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Simple_Legality_Toronto_Canada: avg_runtime=0.007820513099431992, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Simple_Optimality_Toronto_Canada: avg_runtime=0.0003660941729322076, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Legality_Toronto_Canada: avg_runtime=0.03315350040793419, avg_cost=1753.6492919921875
M3_Public_Func_Inter_Inter_Optimality_Toronto_Canada: avg_runtime=0.03395669907331467, avg_cost=1753.6492919921875
M3_Public_Func_Inter_Inter_Simple_Legality_London_England: avg_runtime=0.0005783205269835889, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Simple_Optimality_London_England: avg_runtime=0.00047300560981966555, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Legality_London_England: avg_runtime=0.06873393803834915, avg_cost=3043.386474609375
M3_Public_Func_Inter_Inter_Optimality_London_England: avg_runtime=0.07562139630317688, avg_cost=3043.386474609375
M3_Public_Perf_Inter_Inter_Medium_Toronto: avg_runtime=0.03226117789745331, avg_cost=1695.67138671875
M3_Public_Perf_Inter_Inter_Hard_Toronto: avg_runtime=0.032336775213479996, avg_cost=1694.2855224609375
M3_Public_Perf_Inter_Inter_Very_Hard_Toronto: avg_runtime=0.033063385635614395, avg_cost=1694.2855224609375
M3_Public_Perf_Inter_Inter_Medium_London_England: avg_runtime=0.08477126806974411, avg_cost=3236.938232421875
M3_Public_Perf_Inter_Inter_Hard_London_England: avg_runtime=0.0748065784573555, avg_cost=3275.671630859375
M3_Public_Perf_Inter_Inter_Very_Hard_London_England: avg_runtime=0.08040560781955719, avg_cost=3178.39013671875

alpha=0.02357142857142857
M3_Public_Func_Inter_Inter_Simple_Legality_Interlaken_Switzerland: avg_runtime=0.0005206971545703709, avg_cost=13.791701316833496
M3_Public_Func_Inter_Inter_Simple_Optimality_Interlaken_Switzerland: avg_runtime=0.0008476634975522757, avg_cost=13.791701316833496
M3_Public_Func_Inter_Inter_Legality_Interlaken_Switzerland: avg_runtime=0.000659473764244467, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Optimality_Interlaken_Switzerland: avg_runtime=0.0009597470634616911, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Simple_Legality_Toronto_Canada: avg_runtime=0.0012264681281521916, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Simple_Optimality_Toronto_Canada: avg_runtime=0.0012059328146278858, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Legality_Toronto_Canada: avg_runtime=0.03284214064478874, avg_cost=1753.6492919921875
M3_Public_Func_Inter_Inter_Optimality_Toronto_Canada: avg_runtime=0.03391798585653305, avg_cost=1753.6492919921875
M3_Public_Func_Inter_Inter_Simple_Legality_London_England: avg_runtime=0.0019325909670442343, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Simple_Optimality_London_England: avg_runtime=0.000636498851235956, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Legality_London_England: avg_runtime=0.06972192227840424, avg_cost=3043.386474609375
M3_Public_Func_Inter_Inter_Optimality_London_England: avg_runtime=0.07215496897697449, avg_cost=3043.386474609375
M3_Public_Perf_Inter_Inter_Medium_Toronto: avg_runtime=0.034712713211774826, avg_cost=1682.860595703125
M3_Public_Perf_Inter_Inter_Hard_Toronto: avg_runtime=0.034572213888168335, avg_cost=1680.4090576171875
M3_Public_Perf_Inter_Inter_Very_Hard_Toronto: avg_runtime=0.03837740793824196, avg_cost=1703.746337890625
M3_Public_Perf_Inter_Inter_Medium_London_England: avg_runtime=0.08104702085256577, avg_cost=3236.938232421875
M3_Public_Perf_Inter_Inter_Hard_London_England: avg_runtime=0.08615037053823471, avg_cost=3113.558349609375
M3_Public_Perf_Inter_Inter_Very_Hard_London_England: avg_runtime=0.07619461417198181, avg_cost=3113.558349609375

alpha=0.024081632653061225
M3_Public_Func_Inter_Inter_Simple_Legality_Interlaken_Switzerland: avg_runtime=0.00030496090766973794, avg_cost=13.791701316833496
M3_Public_Func_Inter_Inter_Simple_Optimality_Interlaken_Switzerland: avg_runtime=0.00031593901803717017, avg_cost=13.791701316833496
M3_Public_Func_Inter_Inter_Legality_Interlaken_Switzerland: avg_runtime=0.0005849742447026074, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Optimality_Interlaken_Switzerland: avg_runtime=0.0006986224907450378, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Simple_Legality_Toronto_Canada: avg_runtime=0.00036684528458863497, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Simple_Optimality_Toronto_Canada: avg_runtime=0.000377884425688535, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Legality_Toronto_Canada: avg_runtime=0.03328584134578705, avg_cost=1753.6492919921875
M3_Public_Func_Inter_Inter_Optimality_Toronto_Canada: avg_runtime=0.034183189272880554, avg_cost=1753.6492919921875
M3_Public_Func_Inter_Inter_Simple_Legality_London_England: avg_runtime=0.0020997917745262384, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Simple_Optimality_London_England: avg_runtime=0.0004669911868404597, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Legality_London_England: avg_runtime=0.06939247995615005, avg_cost=3043.386474609375
M3_Public_Func_Inter_Inter_Optimality_London_England: avg_runtime=0.07442720979452133, avg_cost=3043.386474609375
M3_Public_Perf_Inter_Inter_Medium_Toronto: avg_runtime=0.03257204592227936, avg_cost=1695.67138671875
M3_Public_Perf_Inter_Inter_Hard_Toronto: avg_runtime=0.03444452956318855, avg_cost=1694.2855224609375
M3_Public_Perf_Inter_Inter_Very_Hard_Toronto: avg_runtime=0.03453672677278519, avg_cost=1694.2855224609375
M3_Public_Perf_Inter_Inter_Medium_London_England: avg_runtime=0.08454189449548721, avg_cost=3236.938232421875
M3_Public_Perf_Inter_Inter_Hard_London_England: avg_runtime=0.07142667472362518, avg_cost=3115.153564453125
M3_Public_Perf_Inter_Inter_Very_Hard_London_England: avg_runtime=0.07830189168453217, avg_cost=3145.0732421875

alpha=0.024591836734693878
M3_Public_Func_Inter_Inter_Simple_Legality_Interlaken_Switzerland: avg_runtime=0.0007506731199100614, avg_cost=13.791701316833496
